User,Followers,Posts
phoenix_book,26651,17
aliexpressloveis,24467,1
21shop.ru,22671,1
mdclass,21036,1
fixprice_official,20361,2
instamama.ua,18961,1
crazy___daddy,17959,1
alexalex50,16228,1
poznayu_mir,16033,1
kom_86,15918,1
colorindolivrostop,15863,1
ksenyagromova,15246,9
azbuka.me,14575,2
insta9months,14532,1
morday,14255,2
vermonaginger,13889,2
olga.angelovskaya,12249,1
mazhoriki_store,11658,25
ezhikezhik_ru,10528,2
mirvyshivki,9663,1
children_box,9398,1
vulpi__ru,9208,1
mame_skidka,9186,1
baby__albums_kz,9113,1
keratinchik,9084,2
honey.book,8670,1
boracolorirtop,8630,2
mir_pryanikov_,8371,3
artecomoterapia,8272,2
tanyamint,7486,1
rabota_krsk,7203,1
vikushka_kolesnikova,7084,2
alena_light,7000,1
planeta_kartin,6766,26
neatandtangled,6647,1
inpoison,6409,2
giveaways_4fun,6405,1
giveaways_gid,6317,1
diana.lapshina,6302,1
risuemsmalutkoy,6218,1
childrenswritersguild,6160,1
every_day_new_giveaway,6113,1
super_giveaways_tyt,5902,1
stasie_simonie,5781,1
printdoma,5653,1
krasnoebeloe,5384,1
lovebookssss,5276,1
beskrulaya,5264,3
